Date,1 Mo,1.5 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1997-01-02,,,,5.19,,5.35,5.63,5.97,6.13,6.3,6.45,6.54,6.85,6.75
1997-01-03,,,,5.17,,5.34,5.6,5.95,6.11,6.28,6.42,6.52,6.84,6.74
1997-01-06,,,,5.17,,5.31,5.61,5.97,6.12,6.3,6.44,6.54,6.86,6.77
1997-01-07,,,,5.16,,5.3,5.61,5.98,6.14,6.32,6.47,6.57,6.89,6.8
1997-01-08,,,,5.16,,5.3,5.61,6.01,6.17,6.34,6.49,6.6,6.92,6.83
1997-01-09,,,,5.13,,5.27,5.57,5.94,6.1,6.27,6.41,6.52,6.85,6.76
1997-01-10,,,,5.17,,5.33,5.66,6.06,6.21,6.4,6.52,6.63,6.94,6.86
1997-01-13,,,,5.08,,5.31,5.66,6.07,6.22,6.4,6.52,6.63,6.95,6.85
1997-01-14,,,,5.19,,5.27,5.6,5.98,6.12,6.3,6.43,6.53,6.86,6.77
1997-01-15,,,,5.16,,5.28,5.57,5.98,6.12,6.3,6.43,6.53,6.87,6.79
1997-01-16,,,,5.16,,5.28,5.61,6.0,6.15,6.33,6.47,6.57,6.91,6.83
1997-01-17,,,,5.14,,5.28,5.6,6.0,6.14,6.32,6.46,6.56,6.9,6.83
1997-01-21,,,,5.18,,5.31,5.6,5.99,6.12,6.29,6.41,6.52,6.86,6.78
1997-01-22,,,,5.18,,5.33,5.6,6.0,6.15,6.32,6.45,6.56,6.9,6.83
1997-01-23,,,,5.18,,5.34,5.62,6.06,6.19,6.35,6.49,6.6,6.93,6.85
1997-01-24,,,,5.16,,5.34,5.62,6.07,6.21,6.39,6.53,6.64,6.97,6.89
1997-01-27,,,,5.21,,5.34,5.66,6.11,6.25,6.42,6.57,6.69,7.01,6.94
1997-01-28,,,,5.18,,5.3,5.61,6.04,6.19,6.38,6.53,6.64,6.98,6.91
1997-01-29,,,,5.18,,5.29,5.61,6.04,6.19,6.38,6.52,6.63,6.97,6.9
1997-01-30,,,,5.18,,5.31,5.63,6.01,6.16,6.35,6.49,6.61,6.95,6.88
1997-01-31,,,,5.15,,5.28,5.58,5.94,6.08,6.26,6.4,6.53,6.86,6.8
1997-02-03,,,,5.12,,5.28,5.54,5.89,6.03,6.21,6.34,6.47,6.81,6.74
1997-02-04,,,,5.1,,5.28,5.54,5.88,6.02,6.19,6.32,6.45,6.78,6.72
1997-02-05,,,,5.13,,5.28,5.53,5.91,6.04,6.21,6.35,6.47,6.81,6.75
1997-02-06,,,,5.14,,5.28,5.53,5.91,6.05,6.22,6.36,6.49,6.83,6.76
1997-02-07,,,,5.14,,5.26,5.49,5.86,6.0,6.17,6.32,6.43,6.78,6.72
1997-02-10,,,,5.17,,5.29,5.5,5.87,6.0,6.16,6.29,6.43,6.77,6.71
1997-02-11,,,,5.14,,5.28,5.52,5.88,6.01,6.18,6.3,6.43,6.77,6.71
1997-02-12,,,,5.16,,5.26,5.52,5.9,6.04,6.19,6.31,6.39,6.78,6.72
1997-02-13,,,,5.13,,5.21,5.48,5.83,5.97,6.12,6.23,6.32,6.69,6.58
1997-02-14,,,,5.1,,5.17,5.45,5.79,5.91,6.07,6.18,6.28,6.64,6.53
1997-02-18,,,,5.12,,5.24,5.46,5.8,5.92,6.08,6.19,6.28,6.65,6.55
1997-02-19,,,,5.11,,5.24,5.46,5.82,5.93,6.1,6.21,6.3,6.67,6.57
1997-02-20,,,,5.1,,5.23,5.49,5.85,5.99,6.17,6.3,6.38,6.74,6.64
1997-02-21,,,,5.09,,5.23,5.48,5.85,5.98,6.16,6.27,6.36,6.74,6.63
1997-02-24,,,,5.16,,5.23,5.5,5.89,6.02,6.19,6.3,6.39,6.76,6.66
1997-02-25,,,,5.13,,5.24,5.52,5.9,6.04,6.2,6.31,6.4,6.76,6.66
1997-02-26,,,,5.22,,5.3,5.64,6.06,6.21,6.37,6.48,6.56,6.9,6.8
1997-02-27,,,,5.22,,5.35,5.66,6.09,6.23,6.4,6.5,6.58,6.92,6.82
1997-02-28,,,,5.22,,5.39,5.67,6.09,6.23,6.39,6.5,6.56,6.91,6.8
1997-03-03,,,,5.24,,5.39,5.68,6.11,6.25,6.41,6.53,6.58,6.94,6.83
1997-03-04,,,,5.25,,5.4,5.7,6.11,6.27,6.44,6.55,6.6,6.97,6.86
1997-03-05,,,,5.21,,5.41,5.71,6.13,6.27,6.43,6.55,6.6,6.96,6.85
1997-03-06,,,,5.23,,5.43,5.72,6.15,6.29,6.45,6.58,6.62,6.99,6.89
1997-03-07,,,,5.22,,5.4,5.68,6.1,6.25,6.39,6.52,6.57,6.93,6.83
1997-03-10,,,,5.2,,5.4,5.7,6.1,6.25,6.4,6.52,6.56,6.94,6.83
1997-03-11,,,,5.18,,5.38,5.68,6.09,6.25,6.4,6.53,6.57,6.96,6.84
1997-03-12,,,,5.21,,5.4,5.71,6.12,6.27,6.43,6.56,6.6,6.98,6.87
1997-03-13,,,,5.26,,5.45,5.76,6.21,6.38,6.55,6.68,6.72,7.09,6.98
1997-03-14,,,,5.24,,5.43,5.74,6.18,6.35,6.53,6.66,6.71,7.07,6.95
1997-03-17,,,,5.25,,5.48,5.77,6.22,6.38,6.55,6.67,6.72,7.08,6.96
1997-03-18,,,,5.25,,5.48,5.77,6.22,6.38,6.56,6.68,6.72,7.08,6.96
1997-03-19,,,,5.29,,5.5,5.79,6.24,6.41,6.58,6.7,6.74,7.1,6.99
1997-03-20,,,,5.34,,5.55,5.83,6.27,6.45,6.61,6.7,6.75,7.09,6.97
1997-03-21,,,,5.41,,5.59,5.88,6.29,6.46,6.61,6.7,6.74,7.08,6.96
1997-03-24,,,,5.4,,5.55,5.87,6.29,6.45,6.58,6.69,6.72,7.06,6.94
1997-03-25,,,,5.44,,5.6,5.91,6.33,6.48,6.63,6.72,6.75,7.07,6.95
1997-03-26,,,,5.35,,5.59,5.97,6.38,6.52,6.66,6.76,6.8,7.11,7.0
1997-03-27,,,,5.37,,5.6,6.02,6.45,6.61,6.76,6.88,6.9,7.2,7.09
