Date,1 Mo,1.5 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1995-01-03,,,,5.95,,6.66,7.23,7.73,7.84,7.88,7.91,7.88,8.07,7.93
1995-01-04,,,,5.85,,6.57,7.15,7.62,7.75,7.81,7.82,7.82,7.98,7.85
1995-01-05,,,,5.88,,6.61,7.32,7.66,7.83,7.87,7.89,7.88,8.03,7.91
1995-01-06,,,,5.9,,6.61,7.26,7.64,7.81,7.87,7.89,7.87,8.0,7.87
1995-01-09,,,,6.0,,6.67,7.27,7.68,7.84,7.9,7.92,7.89,8.03,7.9
1995-01-10,,,,5.91,,6.62,7.21,7.63,7.78,7.85,7.87,7.84,8.0,7.87
1995-01-11,,,,5.79,,6.51,7.13,7.58,7.73,7.8,7.82,7.79,7.98,7.85
1995-01-12,,,,5.78,,6.48,7.08,7.56,7.73,7.8,7.84,7.8,8.02,7.88
1995-01-13,,,,5.72,,6.38,6.89,7.39,7.55,7.64,7.71,7.69,7.93,7.8
1995-01-17,,,,5.89,,6.44,6.99,7.44,7.6,7.68,7.72,7.7,7.92,7.78
1995-01-18,,,,5.87,,6.46,7.03,7.48,7.64,7.71,7.72,7.71,7.91,7.78
1995-01-19,,,,5.87,,6.47,7.03,7.49,7.65,7.74,7.76,7.74,7.95,7.82
1995-01-20,,,,5.91,,6.5,7.04,7.5,7.7,7.8,7.84,7.82,8.02,7.9
1995-01-23,,,,5.97,,6.51,7.02,7.5,7.69,7.8,7.86,7.83,8.02,7.91
1995-01-24,,,,5.98,,6.53,7.04,7.57,7.71,7.82,7.87,7.86,8.05,7.93
1995-01-25,,,,5.94,,6.46,6.96,7.5,7.61,7.76,7.81,7.8,7.99,7.88
1995-01-26,,,,5.94,,6.44,6.9,7.39,7.54,7.7,7.75,7.76,7.95,7.85
1995-01-27,,,,5.92,,6.41,6.82,7.29,7.46,7.6,7.63,7.66,7.83,7.75
