Date,1 Mo,1.5 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2012-01-03,0.01,,,0.02,,0.06,0.12,0.27,0.4,0.89,1.41,1.97,2.67,2.98
2012-01-04,0.01,,,0.02,,0.06,0.12,0.25,0.4,0.89,1.43,2.0,2.71,3.03
2012-01-05,0.01,,,0.02,,0.07,0.11,0.27,0.4,0.88,1.43,2.02,2.74,3.06
2012-01-06,0.02,,,0.02,,0.05,0.12,0.25,0.4,0.86,1.4,1.98,2.7,3.02
2012-01-09,0.01,,,0.01,,0.05,0.11,0.26,0.38,0.85,1.39,1.98,2.7,3.02
2012-01-10,0.01,,,0.02,,0.05,0.11,0.24,0.37,0.86,1.41,2.0,2.71,3.04
2012-01-11,0.01,,,0.02,,0.05,0.11,0.24,0.34,0.82,1.34,1.93,2.63,2.96
2012-01-12,0.02,,,0.03,,0.06,0.11,0.22,0.35,0.84,1.37,1.94,2.65,2.97
2012-01-13,0.02,,,0.03,,0.06,0.1,0.24,0.34,0.8,1.32,1.89,2.59,2.91
2012-01-17,0.02,,,0.03,,0.06,0.11,0.21,0.33,0.79,1.31,1.87,2.57,2.89
2012-01-18,0.02,,,0.03,,0.07,0.11,0.24,0.35,0.82,1.34,1.92,2.63,2.96
2012-01-19,0.04,,,0.05,,0.07,0.11,0.26,0.36,0.87,1.43,2.01,2.72,3.05
2012-01-20,0.03,,,0.05,,0.07,0.11,0.26,0.38,0.91,1.47,2.05,2.78,3.1
2012-01-23,0.03,,,0.04,,0.07,0.12,0.26,0.39,0.93,1.51,2.09,2.82,3.15
2012-01-24,0.02,,,0.04,,0.07,0.12,0.24,0.39,0.92,1.49,2.08,2.82,3.15
2012-01-25,0.03,,,0.04,,0.07,0.12,0.22,0.34,0.81,1.4,2.01,2.78,3.13
2012-01-26,0.04,,,0.05,,0.08,0.12,0.22,0.31,0.77,1.34,1.96,2.74,3.1
2012-01-27,0.05,,,0.06,,0.08,0.12,0.22,0.32,0.75,1.31,1.93,2.71,3.07
2012-01-30,0.05,,,0.05,,0.08,0.12,0.22,0.31,0.73,1.27,1.87,2.64,2.99
2012-01-31,0.04,,,0.06,,0.08,0.13,0.22,0.3,0.71,1.24,1.83,2.59,2.94
2012-02-01,0.05,,,0.06,,0.09,0.13,0.23,0.31,0.72,1.27,1.87,2.65,3.01
2012-02-02,0.07,,,0.08,,0.1,0.14,0.23,0.31,0.71,1.25,1.86,2.64,3.01
2012-02-03,0.06,,,0.08,,0.1,0.14,0.23,0.33,0.78,1.35,1.97,2.76,3.13
2012-02-06,0.04,,,0.08,,0.1,0.14,0.24,0.32,0.76,1.32,1.93,2.71,3.08
2012-02-07,0.06,,,0.08,,0.11,0.14,0.25,0.35,0.82,1.39,2.0,2.78,3.14
2012-02-08,0.06,,,0.09,,0.11,0.15,0.27,0.35,0.82,1.39,2.01,2.78,3.14
2012-02-09,0.06,,,0.09,,0.12,0.15,0.27,0.38,0.86,1.43,2.04,2.83,3.2
